Date,Day,Details
09.10.2024 & 10.10.2024,Wednesday & Thursday,Course wish list registration by students
14.10.2024 to 29.10.2024,Monday to Tuesday,Course allocation and scheduling by Schools
07.11.2024,Thursday,Mock - Course registration for Freshers
09.11.2024,Saturday,Course registration by students
13.12.2024,Friday,Commencement of Winter Semester 2024-25
13.12.2024 to 15.12.2024,Friday to Sunday,Course add/drop option for students
22.12.2024 to 01.01.2025,Sunday to Wednesday,Winter Vacation for the students (11 Days)
05.01.2025,Sunday,Last date for the payment of re-registration fees
14.01.2025,Tuesday,Pongal (Holiday)
27.01.2025 to 02.02.2025,Monday to Sunday,Continuous Assessment Test -1
20.02.2025 to 23.02.2025,Thursday to Sunday,Riviera 2025
24.02.2025 to 26.02.2025,Monday to Wednesday,Course withdraw option for students
14.03.2025,Friday,Holi (Holiday)
16.03.2025 to 22.03.2025,Sunday to Saturday,Continuous Assessment Test — II
30.03.2025 :,"Sunday ,",Telugu New Year’s Day .
31.03.2025,Monday,Ramzan (No Instructional Day)
05.04.2025,Saturday,Last instructional day for laboratory classes
07.04.2025 to 11.04.2025,Monday to Friday,Final assessment test for laboratory courses/ components
14.04.2025,Monday,Tamil New Year’s Day/ Dr. B. R. Ambedkar Birthday (Holiday)
17.04.2025,Thursday,Last instructional day for theory classes
18.04.2025,Friday,Good Friday (No Instructional Day)
21.04.2025,Monday,Commencement of final assessment test for theory courses / components ;
12.05.2025,Monday,Commencement of Summer Term 2024-25 (Tentative)
14.07.2025,Monday,Commencement of Fall Semester 2025-26 (Tentative)
