Date,Day,Details
17.06.2024 & 19.06.2024,Monday to Wednesday,Course wish list registration by students
24.06.2024 to 01.07.2024,Monday to Monday,Course allocation and scheduling by Schools
06.07.2024,Saturday,Course registration by students
15.07.2024,Monday,Commencement of Fall Semester 2024-25
15.07.2024 to 17.07.2024,Monday to Wednesday,Course add/drop option to students
26.07.2024,Friday,Last date for the payment of re-registration fees
15.08.2024,Thursday,Independence Day (Holiday)
25.08.2024 to 31.08.2024,Sunday to Saturday,Continuous Assessment Test -1
07.09.2024,Saturday,Vinayakar Chathurthi (Holiday)
16.09.2024,Monday,Meelad-un-Nabi (No Instructional Day)
16.09.2024 to 18.09.2024,Monday to Wednesday,Course withdraw option for students
27.09.2024 to 29.09.2024,Friday to Sunday,Gravitas’24
02.10.2024,Wednesday,Gandhi Jayanthi (Holiday)
11.10.2024,Friday,Ayutha Pooja (Holiday)
13.10.2024 to 19.10.2024,Sunday to Saturday,Continuous Assessment Test — II
26.10.2024 to 03.11.2024,Saturday to Sunday,Deepavali (Holiday)
15.11.2024,Friday,Last instructional day for laboratory classes
18.11.2024 to 22.11.2024,Monday to Friday,Final Assessment Test (FAT) for laboratory courses/ components
22.11.2024,Friday,Last instructional day for theory classes
25.11.2024 to 10.12.2024,Monday to Tuesday,Commencement of Final Assessment Test (FAT) for theory courses / components
11.12.2024,Wednesday,Commencement of Winter Semester 2024-2025 (Tentative)
22.12.2024 to 05.01.2025,Sunday to Sunday,Winter Vacation for the students (Tentative)
