Date,Day,Details
13.10.2025 & 14.10.2025,Monday & Tuesday,-Course wish list registration by students
29.10.2025,Wednesday,Mock - Course registration for Freshers
01.11.2025,Saturday,Course registration by students
05.12.2025,Friday,Commencement of Winter Semester 2025-26
05.12.2025 to 07.12.2025,Friday to Sunday,Course add/drop option for students
13.12.2025,Saturday,Last date for the payment of re-registration fees
21.12.2025 to 04.01.2026,Sunday to Sunday,Winter Vacation for the students (15 Days)
14.01.2026 to 18.01.2026,Wednesday to Sunday,Pongal Holidays
27.01.2026 to 02.02.2026,Tuesday to Monday,Continuous Assessment Test -1
16.02.2026 to 18.02.2026,Monday to Wednesday,Course withdraw option for students
26.02.2026 to 01.03.2026,Thursday to Sunday,Riviera 2026
04.03.2026,Wednesday,Holi (Holiday)
15.03.2026 to 23.03.2026,Sunday to Monday,Continuous Assessment Test—II_ -
19.03.2026,Thursday,Ramzan (Holiday)
20.03.2026,Friday,Telugu New Year’s Day
03.04.2026,Friday,Good Friday (No Instructional Day)
10.04.2026,Friday,Last instructional day for laboratory classes
11.04.2026 to 17.04.2026,Saturday to Friday,Final assessment test for laboratory courses/ components
14.04.2026,Tuesday,Tamil New Year’s Day/ Dr. B. R. Ambedkar Birthday (Holiday)
17.04.2026,Friday,Last instructional day for theory classes
20.04.2026,Monday,Commencement of final assessment test for theory courses / components
11.05.2026,Monday,Commencement of Summer Term 2025-26 (Tentative)
13.07.2026,Monday,Commencement of Fall Semester 2026-27 (Tentative)
