Date,Day,Details
06.10.2023 & 07.10.2023,Friday & Saturday,Course wish list registration by students
09.10.2023 to 20.10.2023,Monday to Friday,Course allocation and scheduling by Schools
26.10.2023,Thursday,Mock - Course registration for Freshers
29.10.2023,Sunday,Course registration by students
03.01.2024,Wednesday,Commencement of Winter Semester 2023-24
03.01.2024 to 05.01.2024,Wednesday to Friday,Course add/drop option to students
12.01.2024,Friday,Last date for the payment of re-registration fees
13.01.2024 to 15.01.2024,Saturday to Monday,Pongal Holidays
11.02.2024 to 17.02.2024,Sunday to Saturday,Continuous Assessment Test -1
29.02.2024 to 03.03.2024,Thursday to Sunday,Riviera 2024
04.03.2024 to 06.03.2024,Monday to Wednesday,Course withdraw option for students
29.03.2024,Friday,Good Friday (No Instructional Day)
01.04.2024 to 07.04.2024,Monday to Sunday,Continuous Assessment Test - II
09.04.2024,Tuesday,Telugu New Year’s Day (No Instructional Day)
14.04.2024,Friday,Tamil New Year’s Day/ Dr. B. R. Ambedkar Birthday (Holiday)
25.04.2024 & 26.04.2024,Thursday & Friday,"25"" Science Engineering and Technology (SET) Conference"
26.04.2024,Friday,Last instructional day for laboratory classes
29.04.2024 to 03.05.2024,Monday to Friday,Final assessment test for laboratory courses/ components
03.05.2024,Friday,Last instructional day for theory classes
06.05.2024,Monday,Commencement of final assessment test for theory courses / components
20.05.2024,Monday,Commencement of Summer Term 2023-24 (Tentative)
17.07.2024,Wednesday,Commencement of Fall Semester 2023-2024 (Tentative)
